"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Zuidzande"	10437.00	1/1/1812 0:00:00	4/1/1970 0:00:00	735.00	735.00	9083.00	9.00	98.00	31.00	1900.00	37472.00	
"Zuilen"	10059.00	1/1/1812 0:00:00	1/1/1954 0:00:00	1242.00		6056.00	6.00	48.00		13350.00	45890.00	
"Zuilichem"	11036.00	1/1/1812 0:00:00	7/1/1955 0:00:00	1243.00		5012.00	5.00	42.00		13718.00	42382.00	
"Zundert"	11192.00	1/1/1812 0:00:00	1/1/2009 0:00:00	879.00	879.00	10027.00	10.00	104.00	33.00	10192.00	38685.00	
"Zutphen"	10254.00	1/1/1812 0:00:00	1/1/2009 0:00:00	301.00	301.00	5113.00	5.00	28.00	14.00	20951.00	46162.00	
"Zwaag"	10218.00	1/1/1812 0:00:00	1/1/1979 0:00:00	475.00	475.00	7035.00	7.00	54.00	18.00	13563.00	52383.00	
"Zwammerdam"	10675.00	1/1/1812 0:00:00	2/1/1964 0:00:00	1244.00		8048.00	8.00	73.00	28.00	10968.00	45438.00	
"Zwartewaal"	10703.00	1/1/1812 0:00:00	1/1/1980 0:00:00	641.00	641.00	8162.00	8.00	91.00		7392.00	43345.00	
"Zwartewaterland"	10746.00	1/1/2001 0:00:00	1/1/2009 0:00:00	1896.00			4.00					
"Zwartsluis"	10303.00	1/1/1812 0:00:00	1/1/2001 0:00:00	192.00	192.00	4017.00	4.00	20.00	10.00	20245.00	51630.00	
"Zweeloo"	10872.00	1/1/1812 0:00:00	1/1/1998 0:00:00	138.00	138.00	3014.00	3.00	17.00	8.00	24328.00	53612.00	
"Zwijndrecht"	10468.00	1/1/1812 0:00:00	1/1/2009 0:00:00	642.00	642.00	8143.00	8.00	87.00	30.00	10405.00	42623.00	
"Zwolle"	10093.00	1/1/1812 0:00:00	1/1/2009 0:00:00	193.00	193.00	4026.00	4.00	20.00	10.00	20296.00	50385.00	
"Zwollerkerspel"	10654.00	1/1/1812 0:00:00	8/1/1967 0:00:00	1245.00	194.00	4025.00	4.00	20.00	10.00	20218.00	50570.00	
"Koggenland"	10354.00	1/1/2007 0:00:00	1/1/2009 0:00:00	1598.00			7.00					
